Asset No.,SNo.,Capitalization Date,Quantity,BUn,Asset Description,ODep.Start,   Cum.acq.value,      Accum.dep.,    End book val,Life,Class,Asset Class Description,Cost Ctr,Cost Center Desc,Dept,Location,GL Account,GL Account Description,  Start book.val,   Trans.acq.val,         PlndDep,   Pld.unpl.dep., Sep.pln.ord.dep, Sep.cum.ord.dep, Sep.cum.acq.val,   Trns.ord.dep.
2572,0,7/30/1988,2,PC,Drill AEG Percussion SB2-16,7/30/1988,"5,022.73","-5,021.73",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-102,529.20","102,530.20",0
2571,0,8/30/1988,1,PC,Spot Repair Vulcanizing Machine,8/30/1988,"206,828.09","-206,827.09",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-18,859.96","18,860.96",0
2569,0,9/7/1988,2,PC,Chain Block 5 Ton cap.,9/7/1988,"18,288.76","-18,287.76",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-18,859.97","18,860.97",0
2570,0,9/7/1988,1,PC,Chain Block 10 ton cap.,9/7/1988,"18,733.68","-18,732.68",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-12,672.64","12,673.64",0
2568,0,9/16/1988,2,PC,Hydraulic Jack 10 ton cap.,9/16/1988,"8,920.80","-8,919.80",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-7,376.30","7,377.30",0
2567,0,10/6/1988,2,PC,Oil Jack for Slide Frame 50Ton,10/6/1988,"98,731.15","-98,730.15",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-6,424.50","6,425.50",0
2566,0,11/30/1988,1,PC,Torque Wrench,11/30/1988,"10,450.47","-10,449.47",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-18,499.00","18,500.00",0
2565,0,12/31/1988,1,PC,Fab. of BC Winding Machine,12/31/1988,"12,914.00","-12,913.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-36,521.60","36,522.60",0
2563,0,3/8/1989,1,PC,Hydraulic Press Large MEB-2000,3/8/1989,"235,692.65","-235,691.65",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-36,521.60","36,522.60",0
2564,0,3/8/1989,1,PC,Hydraulic Press Small MEA-600,3/8/1989,"99,140.56","-99,139.56",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-41,885.36","41,886.36",0
2559,0,3/31/1989,1,PC,Heating Plate for Vulc.Machine 2000mmBW,3/31/1989,"353,961.33","-353,960.33",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-56,310.12","56,311.12",0
2560,0,3/31/1989,1,PC,Heating Plate for Vulc.Machine 1200mmBW,3/31/1989,"241,726.73","-241,725.73",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-138,319.73","138,320.73",0
2561,0,3/31/1989,1,PC,Heating Plate for Vulc.Machine 600mmBW,3/31/1989,"172,093.04","-172,092.04",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-8,839.91","8,840.91",0
2562,0,3/31/1989,1,PC,Water Bag 2000mm for Belt Vulc.Equipt,3/31/1989,"101,011.14","-101,010.14",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-12,499.00","12,500.00",0
2557,0,4/15/1989,5,PC,Chain Block 2 Ton Cap.,4/15/1989,"56,105.28","-56,104.28",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-5,371.73","5,372.73",0
2558,0,4/15/1989,2,PC,Hoist Lever 1.5T Cap.,4/15/1989,"8,809.04","-8,808.04",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-61,939.39","61,940.39",0
2556,0,5/12/1989,1,PC,Chain Block 2-ton cap.,5/12/1989,"5,872.80","-5,871.80",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-343,894.40","343,895.40",0
2555,0,5/31/1989,1,PC,Hydraulic Jack 10 ton cap.,5/31/1989,"2,741.57","-2,740.57",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-59,999.00","60,000.00",0
2554,0,8/21/1989,1,PC,Jack Hyd.HSR-5067 w/ H.Pump RP6BR,8/21/1989,"32,731.33","-32,730.33",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-62,040.50","62,041.50",0
2552,0,9/1/1989,1,PC,Hydraulic Push/Puller 30 ton,9/1/1989,"44,800.00","-44,799.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-26,862.63","26,863.63",0
2553,0,9/1/1989,1,PC,Jack Hyd.HSR-506T w/ H.Pump,9/1/1989,"32,731.33","-32,730.33",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-87,761.49","87,762.49",0
2551,0,11/30/1989,1,PC,Smith Oxy/Ace Regulator,11/30/1989,"10,386.55","-10,385.55",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-75,612.34","75,613.34",0
2550,0,12/15/1989,2,PC,Wrench Erection 32mm,12/15/1989,"4,205.45","-4,204.45",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-9,271.73","9,272.73",0
2549,0,12/27/1989,1,PC,Cutter Automatic GAS KT-5N,12/27/1989,"42,000.00","-41,999.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-25,908.09","25,909.09",0
2548,0,12/31/1989,1,PC,Fab of BC Winding Machine,12/31/1989,"30,201.72","-30,200.72",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-5,999.00","6,000.00",0
2546,0,1/4/1990,3,PC,Chain Block 1.5 Ton Cap,1/4/1990,"8,590.91","-8,589.91",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-59,999.00","60,000.00",0
2547,0,1/4/1990,1,PC,Hoist Coping 1.5 Ton,1/4/1990,"6,345.45","-6,344.45",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-10,453.55","10,454.55",0
2545,0,1/11/1990,1,PC,Hoist Coping 1.5 Ton,1/11/1990,"6,345.45","-6,344.45",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-71,336.60","71,337.60",0
2543,0,1/23/1990,1,PC,Tester Tension & Comp'n 4.5kg cap,1/23/1990,"4,845.46","-4,844.46",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-90,961.40","90,962.40",0
2544,0,1/23/1990,1,PC,Tester Tension & Comp'n 1000g cap,1/23/1990,"4,845.45","-4,844.45",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-20,079.00","20,080.00",0
2541,0,2/7/1990,1,PC,Power Hacksaw 1/3HP 40x15x30,2/7/1990,"382,730.12","-382,729.12",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-5,169.00","5,170.00",0
2542,0,2/7/1990,1,PC,Hacksaw Blade (Front & Rear),2/7/1990,"6,435.14","-6,434.14",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-113,635.36","113,636.36",0
2540,0,3/13/1990,1,PC,Lubricator Yamaha w/ grease nozzle,3/13/1990,"38,904.55","-38,903.55",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-60,337.70","60,338.70",0
2539,0,6/13/1990,1,PC,Mechanical Puller CG285 Snap-on,6/13/1990,"9,354.55","-9,353.55",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-59,095.91","59,096.91",0
2538,0,7/7/1990,1,PC,"Lubricator Type:NER 2-5, 2 ltrs",7/7/1990,"34,336.09","-34,335.09",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,0,0,0,0,0,"-32,710.11","32,710.11",0
2537,0,7/16/1990,1,PC,Alignment System Model ALI-2000,7/16/1990,"251,863.64","-251,862.64",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-83,945.04","83,946.04",0
2535,0,8/2/1990,1,PC,Welding Machine Hitachi AC-ARC Type,8/2/1990,"22,704.54","-22,703.54",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-32,328.09","32,329.09",0
2536,0,8/2/1990,1,PC,Welding Machine 220V 500A 43KVA,8/2/1990,"22,704.54","-22,703.54",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-37,297.18","37,298.18",0
2533,0,8/13/1990,1,PC,Digital Thermometer TMDT1,8/13/1990,"18,454.54","-18,453.54",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-8,808.09","8,809.09",0
2534,0,8/13/1990,1,PC,Wrench Impact 25mm cap 1drive,8/13/1990,"20,686.36","-20,685.36",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-1,350,417.93","1,350,418.93",0
2532,0,11/15/1990,2,PC,Tools CLF Impeller Hub,11/15/1990,"170,193.63","-170,192.63",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,0,0,0,0,0,"-161,575.89","161,575.89",0
2531,0,1/29/1991,1,PC,SDK Electric Light Cutter,1/29/1991,"22,288.99","-22,287.99",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-31,795.36","31,796.36",0
2530,0,3/5/1991,1,PC,Lubricator Oil CS-12,3/5/1991,"37,478.21","-37,477.21",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-34,149.00","34,150.00",0
2529,0,3/6/1991,1,PC,Oil Changer Asembly,3/6/1991,"262,527.86","-262,526.86",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-8,362.64","8,363.64",0
2528,0,3/8/1991,1,PC,Lubricator Yamaha 880-I 45HPPH10A45,3/8/1991,"85,388.20","-85,387.20",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-10,339.00","10,340.00",0
2527,0,4/5/1991,1,PC,Rachet 32 Tooth 3/4 Drive GL72TH,4/5/1991,"6,477.14","-6,476.14",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-18,504.45","18,505.45",0
2526,0,5/13/1991,1,PC,Weld Fume Extractor Model SRF 2800,5/13/1991,"282,781.92","-282,780.92",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-23,603.54","23,604.54",0
2667,0,5/20/1991,1,PC,Hoist Lever 1-1/2 cap.Mod L3-312,5/20/1991,"10,840.91","-10,839.91",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-4,317.18","4,318.18",0
2525,0,5/23/1991,1,PC,Indentor Handheld Impact #316-2,5/23/1991,"19,318.18","-19,317.18",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-9,461.50","9,462.50",0
2524,0,6/16/1991,1,PC,Gauge Ultrasonic Thickness,6/16/1991,"102,530.20","-102,529.20",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-6,544.45","6,545.45",0
2523,0,7/16/1991,1,PC,Threader Pipe RIDGID 1/2 Dia,7/16/1991,"12,673.64","-12,672.64",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-9,461.50","9,462.50",0
2521,0,9/2/1991,1,PC,File Set Snap-on HBN120,9/2/1991,"7,377.30","-7,376.30",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-10,222.18","10,223.18",0
2522,0,9/2/1991,1,PC,Drill Straight Shank 27mm,9/2/1991,"6,425.50","-6,424.50",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-18,196.73","18,197.73",0
2520,0,11/30/1991,1,PC,Probe Thermometer TIH 050/100-6,11/30/1991,"18,500.00","-18,499.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-7,625.82","7,626.82",0
2519,0,12/28/1991,5,PC,Block Chain 2-ton cap.,12/28/1991,"41,886.36","-41,885.36",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-15,739.45","15,740.45",0
2518,0,3/3/1992,1,PC,Lubricator Oil CS-12,3/3/1992,"56,311.12","-56,310.12",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-8,503.55","8,504.55",0
2515,0,4/20/1992,1,PC,Hydraulic Puller Set Model Master,4/20/1992,"138,320.73","-138,319.73",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-63,620.82","63,621.82",0
2516,0,4/20/1992,1,PC,Block Chain 2-ton cap,4/20/1992,"8,840.91","-8,839.91",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-58,564.45","58,565.45",0
2517,0,4/20/1992,1,PC,Hoist Coping 1-1/2 ton cap,4/20/1992,"5,372.73","-5,371.73",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-72,346.67","72,347.67",0
2514,0,4/21/1992,5,PC,Chain Block 3-tonner,4/21/1992,"61,940.39","-61,939.39",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-50,341.73","50,342.73",0
2513,0,4/27/1992,1,PC,Thickness Meter(Steel Cord Conv.Belt),4/27/1992,"343,895.40","-343,894.40",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-45,871.72","45,872.72",0
2510,0,8/19/1992,4,PC,Chain Block 5 Tonner,8/19/1992,"60,000.00","-59,999.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-88,427.25","88,428.25",0
2511,0,8/19/1992,5,PC,Chain Block 2-ton cap,8/19/1992,"62,041.50","-62,040.50",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-12,606.27","12,607.27",0
2512,0,8/19/1992,5,PC,Hoist Coping 1.5 ton cap,8/19/1992,"26,863.63","-26,862.63",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-33,314.56","33,315.56",0
2508,0,1/6/1993,1,PC,SKF CMVP 10 Vibration Pen,1/6/1993,"6,000.00","-5,999.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-78,908.08","78,909.08",0
2509,0,1/6/1993,1,PC,SKF Vibration Pen w/ Protective Case,1/6/1993,"60,000.00","-59,999.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-55,106.27","55,107.27",0
2507,0,1/14/1993,1,PC,Grinder Bench Wheel Size 7x1x5/8,1/14/1993,"10,454.55","-10,453.55",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,DGEN,164500,Tools and Equipment,1,0,0,0,0,"-24,271.73","24,272.73",0
2666,0,1/18/1993,1,PC,Tamper Handheld Tie Model TT-B2,1/18/1993,"71,337.60","-71,336.60",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-128,180.82","128,181.82",0
2505,0,10/12/1993,1,PC,Hoist Lever L4-505 1.5Tons,10/12/1993,"5,170.00","-5,169.00",1,005/000,30700040,GEN-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-5,908.09","5,909.09",0
2504,0,1/14/1994,1,PC,"Drill,Electric Magnetic Base",1/14/1994,"59,096.91","-59,095.91",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-25,908.09","25,909.09",0
2501,0,2/5/1994,6,PC,"Hand Hoist Series 622,3-Ton Cap",2/5/1994,"83,946.04","-83,945.04",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-16,294.45","16,295.45",0
2502,0,2/5/1994,6,PC,"Lever Tool Series 637,1-1/2Ton Cap",2/5/1994,"32,329.09","-32,328.09",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-10,822.64","10,823.64",0
2503,0,2/5/1994,4,PC,"Hand Hoist Series 622,2-Ton Cap",2/5/1994,"37,298.18","-37,297.18",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-187,271.73","187,272.73",0
2500,0,4/27/1994,1,PC,"Hoist,Lever L4-505,1.5 Tons",4/27/1994,"8,809.09","-8,808.09",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-172,726.27","172,727.27",0
2498,0,5/26/1994,1,PC,"Cylinder,Model:RC 251, 25Tons",5/26/1994,"31,796.36","-31,795.36",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-5,544.45","5,545.45",0
2499,0,5/26/1994,1,PC,"Cylinder,Model:RC 254, 25Tons",5/26/1994,"34,150.00","-34,149.00",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-166,362.64","166,363.64",0
2497,0,12/14/1994,3,PC,"Grinder,Portable Straight",12/14/1994,"23,604.54","-23,603.54",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-42,108.48","42,109.48",0
2495,0,4/12/1995,1,PC,Compression Tester,4/12/1995,"9,462.50","-9,461.50",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-75,634.31","75,635.31",0
2496,0,4/12/1995,1,PC,Compression Tester,4/12/1995,"6,545.45","-6,544.45",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-249,091.40","249,092.40",0
2494,0,4/15/1995,1,PC,Compression Tester,4/15/1995,"9,462.50","-9,461.50",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-15,780.82","15,781.82",0
2490,0,5/12/1995,1,PC,"Hydraulic Jack,20-Ton Cap.",5/12/1995,"10,223.18","-10,222.18",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-14,993.45","14,994.45",0
2491,0,5/12/1995,1,PC,"Hydraulic Jack,30-Ton Cap.",5/12/1995,"18,197.73","-18,196.73",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-24,089.91","24,090.91",0
2492,0,5/12/1995,1,PC,"Hydraulic Hand Pump,Model:P-39",5/12/1995,"7,626.82","-7,625.82",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-14,999.00","15,000.00",0
2493,0,5/12/1995,1,PC,"Hydraulic Hand Pump,Model:P-80",5/12/1995,"15,740.45","-15,739.45",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-11,271.73","11,272.73",0
2489,0,5/18/1995,1,PC,"Mechanical Puller,Style:3-Jaw",5/18/1995,"8,504.55","-8,503.55",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-9,089.91","9,090.91",0
2487,0,5/27/1995,3,PC,"Cylinder,25-Ton Cap.M:No RC-254",5/27/1995,"63,621.82","-63,620.82",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-13,999.00","14,000.00",0
2488,0,5/27/1995,3,PC,"Cylinder,25-Ton Cap.M:RC-251",5/27/1995,"58,565.45","-58,564.45",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-23,180.82","23,181.82",0
2483,0,5/29/1995,6,PC,"Chain Block, 3-Tonner",5/29/1995,"72,347.67","-72,346.67",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-43,817.18","43,818.18",0
2484,0,5/29/1995,9,PC,"Coffing Hoist, 1-1/2 Ton Cap.",5/29/1995,"50,342.73","-50,341.73",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-5,510.50","5,511.50",0
2485,0,5/29/1995,6,PC,"Chain Block, 2-Tonner",5/29/1995,"45,872.72","-45,871.72",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-5,044.45","5,045.45",0
2486,0,5/29/1995,6,PC,"Chain Block, 5-Tonner",5/29/1995,"88,428.25","-88,427.25",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-701,476.94","701,477.94",0
2482,0,7/7/1995,4,PC,"Welding Machine,220V,500A,43KVA",7/7/1995,"128,181.82","-128,180.82",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-21,404.45","21,405.45",0
2662,0,7/14/1995,1,PC,Crimping Tool for Amphenol RJ-45,7/14/1995,"5,909.09","-5,908.09",1,005/000,30700040,GEN-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-134,243.00","134,244.00",0
2481,0,9/21/1995,1,PC,"Prime Cut,Ultrathermic Gas Cutting",9/21/1995,"25,909.09","-25,908.09",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-82,562.64","82,563.64",0
2480,0,10/16/1995,2,PC,"Handle,Socket Ratchet 1Drive",10/16/1995,"16,295.45","-16,294.45",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-10,355.36","10,356.36",0
2479,0,11/28/1995,1,PC,"Cutter,Plasma,100.120amp.230V,3-Phase",11/28/1995,"187,272.73","-187,271.73",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-84,712.60","84,713.60",0
2478,0,12/7/1995,1,PC,"Monitoring Bearing System,SKF CMPS",12/7/1995,"172,727.27","-172,726.27",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-14,993.45","14,994.45",0
2477,0,2/3/1996,4,PC,"Grinder,180mm,Makita Disc",2/3/1996,"42,109.48","-42,108.48",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-191,532.20","191,533.20",0
2476,0,5/10/1996,2,PC,"Chain Block,10-Tonner",5/10/1996,"75,635.31","-75,634.31",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-358,843.85","358,844.85",0
2475,0,6/4/1996,1,PC,Motorized Motor Pump for Vulcanizing,6/4/1996,"249,092.40","-249,091.40",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-60,105.96","60,106.96",0
2474,0,7/26/1996,2,PC,Dial Gauge Indicator w/Magnetic Base Stand,7/26/1996,"14,994.45","-14,993.45",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-37,986.21","37,987.21",0
2473,0,7/30/1996,1,PC,"Air Compressor,Energair",7/30/1996,"24,090.91","-24,089.91",1,005/000,10700040,FOH-Tools and equipment,33000,MECHANICAL,MEC,MECH,164500,Tools and Equipment,1,0,0,0,0,"-15,978.09","15,979.09",0
